"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","977","Test Case 3: Login User with incorrect email and password:","chromium","2026-06-05","passed","2026-06-05","","ui/tests/loging.spec.ts","",""
"","796","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","chromium","2026-06-05","passed","2026-06-05","Home Page Tests.","ui/tests/home.spec.ts","",""
"","628","has title","chromium","2026-06-05","passed","2026-06-05","","api/tests/example.spec.ts","",""
"","1231","Test Case 13: Verify Product quantity in Cart","chromium","2026-06-05","passed","2026-06-05","E2E Tests","ui/tests/E2E.spec.ts","",""
"","751","get started link","chromium","2026-06-05","passed","2026-06-05","","api/tests/example.spec.ts","",""
"","2009","should log out successfully","chromium","2026-06-05","passed","2026-06-05","Login Page Tests","ui/tests/loging.spec.ts","",""
"","986","Test Case 11: Verify Subscription in Cart page","chromium","2026-06-05","passed","2026-06-05","Cart Test Cases","ui/tests/cart.spec.ts","",""
"","0","TC7 - Verify Test Cases page","chromium","2026-06-05","skipped","2026-06-05","Login tests","ui/tests/verifyPages.spec.ts","",""
"","4550","seed using loginPage fixture","chromium","2026-06-05","passed","2026-06-05","seed for logged in user","ui/tests/seed.spec.ts","",""
"","1721","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality:","chromium","2026-06-05","passed","2026-06-05","Home Page Tests.","ui/tests/home.spec.ts","",""
"","6386","Test Case 14: Place Order: Register while Checkout","chromium","2026-06-05","passed","2026-06-05","E2E Tests","ui/tests/E2E.spec.ts","",""
"","1039","Test Case 17: Remove Products From Cart","chromium","2026-06-05","passed","2026-06-05","Cart Test Cases","ui/tests/cart.spec.ts","",""
"","1007","Test Case 5: Register User with existing email:","chromium","2026-06-05","passed","2026-06-05","","ui/tests/signup.spec.ts","",""
"","0","should submit the contact form successfully","chromium","2026-06-05","skipped","2026-06-05","Contact Us form tests","ui/tests/contactForm.spec.ts","",""
"","2048","TC8 - Verify All products and product details page","chromium","2026-06-05","passed","2026-06-05","Login tests","ui/tests/verifyPages.spec.ts","",""
"","1444","Test Case 2: Login User with correct email and password","chromium","2026-06-05","passed","2026-06-05","","ui/tests/loging.spec.ts","",""
