"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1257","Test Case 11: Verify Subscription in Cart page","chromium","2026-08-21","passed","2026-08-21","Cart Test Cases","ui/tests/cart.spec.ts","",""
"","590","has title","chromium","2026-08-21","passed","2026-08-21","","api/tests/example.spec.ts","",""
"","734","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","chromium","2026-08-21","passed","2026-08-21","Home Page Tests.","ui/tests/home.spec.ts","",""
"","1122","Test Case 5: Register User with existing email:","chromium","2026-08-21","passed","2026-08-21","","ui/tests/signup.spec.ts","",""
"","1877","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality:","chromium","2026-08-21","passed","2026-08-21","Home Page Tests.","ui/tests/home.spec.ts","",""
"","9645","Test Case 14: Place Order: Register while Checkout","chromium","2026-08-21","passed","2026-08-21","E2E Tests","ui/tests/E2E.spec.ts","",""
"","0","TC7 - Verify Test Cases page","chromium","2026-08-21","skipped","2026-08-21","Login tests","ui/tests/testCases.spec.ts","",""
"","2604","seed using loginPage fixture","chromium","2026-08-21","passed","2026-08-21","seed for logged in user","ui/tests/seed.spec.ts","",""
"","1689","Test Case 21: Add review on product","chromium","2026-08-21","passed","2026-08-21","Product Details Page","ui/tests/productDetails.spec.ts","",""
"","1446","Test Case 3: Login User with incorrect email and password:","chromium","2026-08-21","passed","2026-08-21","","ui/tests/loging.spec.ts","",""
"","3160","Test Case 8: Verify All products and product details page","chromium","2026-08-21","passed","2026-08-21","Products Page Tests","ui/tests/products.spec.ts","",""
"","2913","should log out successfully","chromium","2026-08-21","passed","2026-08-21","Login Page Tests","ui/tests/loging.spec.ts","",""
"","1513","Test Case 17: Remove Products From Cart","chromium","2026-08-21","passed","2026-08-21","Cart Test Cases","ui/tests/cart.spec.ts","",""
"","0","should submit the contact form successfully","chromium","2026-08-21","skipped","2026-08-21","Contact Us form tests","ui/tests/contactForm.spec.ts","",""
"","2025","Test Case 13: Verify Product quantity in Cart","chromium","2026-08-21","passed","2026-08-21","E2E Tests","ui/tests/E2E.spec.ts","",""
"","2158","Test Case 2: Login User with correct email and password","chromium","2026-08-21","passed","2026-08-21","","ui/tests/loging.spec.ts","",""
"","4100","Test Case 1: Register User","chromium","2026-08-21","passed","2026-08-21","E2E Tests","ui/tests/E2E.spec.ts","",""
"","677","get started link","chromium","2026-08-21","passed","2026-08-21","","api/tests/example.spec.ts","",""
