"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1460","Test Case 5: Register User with existing email:","chromium","Tue Apr 07 16:26:21 UTC 2026","passed","Tue Apr 07 16:26:23 UTC 2026","","ui/tests/signup.spec.ts","",""
"","2140","should log out successfully","chromium","Tue Apr 07 16:26:15 UTC 2026","passed","Tue Apr 07 16:26:17 UTC 2026","Login Page Tests","ui/tests/loging.spec.ts","",""
"","2936","seed using loginPage fixture","chromium","Tue Apr 07 16:26:18 UTC 2026","passed","Tue Apr 07 16:26:21 UTC 2026","seed for logged in user","ui/tests/seed.spec.ts","",""
"","0","Login tests","chromium","Tue Apr 07 16:26:23 UTC 2026","skipped","Tue Apr 07 16:26:23 UTC 2026","","ui/tests/testCases.spec.ts","",""
"","608","has title","chromium","Tue Apr 07 16:26:09 UTC 2026","passed","Tue Apr 07 16:26:10 UTC 2026","","api/tests/example.spec.ts","",""
"","1408","Test Case 13: Verify Product quantity in Cart","chromium","Tue Apr 07 16:26:12 UTC 2026","passed","Tue Apr 07 16:26:13 UTC 2026","E2E Tests","ui/tests/E2E.spec.ts","",""
"","1","should submit the contact form successfully","chromium","Tue Apr 07 16:26:12 UTC 2026","skipped","Tue Apr 07 16:26:12 UTC 2026","Contact Us form tests","ui/tests/contactForm.spec.ts","",""
"","1349","Test Case 17: Remove Products From Cart","chromium","Tue Apr 07 16:26:11 UTC 2026","passed","Tue Apr 07 16:26:12 UTC 2026","Cart Test Cases","ui/tests/cart.spec.ts","",""
"","1211","Test Case 3: Login User with incorrect email and password:","chromium","Tue Apr 07 16:26:17 UTC 2026","passed","Tue Apr 07 16:26:18 UTC 2026","","ui/tests/loging.spec.ts","",""
"","1349","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality:","chromium","Tue Apr 07 16:26:13 UTC 2026","passed","Tue Apr 07 16:26:15 UTC 2026","Home Page Tests.","ui/tests/home.spec.ts","",""
"","837","get started link","chromium","Tue Apr 07 16:26:10 UTC 2026","passed","Tue Apr 07 16:26:11 UTC 2026","","api/tests/example.spec.ts","",""
