"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30439","Test Case 5: Register User with existing email:","chromium","2026-06-03","broken","2026-06-03","","ui/tests/signup.spec.ts","",""
"","0","should submit the contact form successfully","chromium","2026-06-03","skipped","2026-06-03","Contact Us form tests","ui/tests/contactForm.spec.ts","",""
"","751","get started link","chromium","2026-06-03","passed","2026-06-03","","api/tests/example.spec.ts","",""
"","30456","Test Case 14: Place Order: Register while Checkout","chromium","2026-06-03","broken","2026-06-03","E2E Tests","ui/tests/E2E.spec.ts","",""
"","584","has title","chromium","2026-06-03","passed","2026-06-03","","api/tests/example.spec.ts","",""
"","0","TC7 - Verify Test Cases page","chromium","2026-06-03","skipped","2026-06-03","Login tests","ui/tests/verifyPages.spec.ts","",""
"","30451","Test Case 13: Verify Product quantity in Cart","chromium","2026-06-03","broken","2026-06-03","E2E Tests","ui/tests/E2E.spec.ts","",""
"","30461","Test Case 3: Login User with incorrect email and password:","chromium","2026-06-03","broken","2026-06-03","","ui/tests/loging.spec.ts","",""
"","30453","Test Case 17: Remove Products From Cart","chromium","2026-06-03","broken","2026-06-03","Cart Test Cases","ui/tests/cart.spec.ts","",""
"","5690","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality:","chromium","2026-06-03","failed","2026-06-03","Home Page Tests.","ui/tests/home.spec.ts","",""
"","5851","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","chromium","2026-06-03","failed","2026-06-03","Home Page Tests.","ui/tests/home.spec.ts","",""
"","30418","seed using loginPage fixture","chromium","2026-06-03","broken","2026-06-03","seed for logged in user","ui/tests/seed.spec.ts","",""
"","10883","TC8 - Verify All products and product details page","chromium","2026-06-03","failed","2026-06-03","Login tests","ui/tests/verifyPages.spec.ts","",""
"","30456","should log out successfully","chromium","2026-06-03","broken","2026-06-03","Login Page Tests","ui/tests/loging.spec.ts","",""
