"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2412","seed using loginPage fixture","chromium","2026-09-22","passed","2026-09-22","seed for logged in user","ui/tests/seed.spec.ts","",""
"","1","TC7 - Verify Test Cases page","chromium","2026-09-22","skipped","2026-09-22","Login tests","ui/tests/testCases.spec.ts","",""
"","1176","Test Case 10: Verify Subscription in home page","chromium","2026-09-22","passed","2026-09-22","Home Page Tests.","ui/tests/home.spec.ts","",""
"","9451","Test Case 24: Download Invoice after purchase order","chromium","2026-09-22","passed","2026-09-22","E2E Tests","ui/tests/E2E.spec.ts","",""
"","1527","Test Case 2: Login User with correct email and password","chromium","2026-09-22","passed","2026-09-22","","ui/tests/loging.spec.ts","",""
"","1339","Test Case 21: Add review on product","chromium","2026-09-22","passed","2026-09-22","Product Details Page","ui/tests/productDetails.spec.ts","",""
"","1550","Test Case 17: Remove Products From Cart","chromium","2026-09-22","passed","2026-09-22","Cart Test Cases","ui/tests/cart.spec.ts","",""
"","7536","Test Case 14: Place Order: Register while Checkout","chromium","2026-09-22","passed","2026-09-22","E2E Tests","ui/tests/E2E.spec.ts","",""
"","2750","Test Case 8: Verify All products and product details page","chromium","2026-09-22","passed","2026-09-22","Products Page Tests","ui/tests/products.spec.ts","",""
"","1639","Test Case 13: Verify Product quantity in Cart","chromium","2026-09-22","passed","2026-09-22","E2E Tests","ui/tests/E2E.spec.ts","",""
"","557","has title","chromium","2026-09-22","passed","2026-09-22","","api/tests/example.spec.ts","",""
"","0","should submit the contact form successfully","chromium","2026-09-22","skipped","2026-09-22","Contact Us form tests","ui/tests/contactForm.spec.ts","",""
"","632","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","chromium","2026-09-22","passed","2026-09-22","Home Page Tests.","ui/tests/home.spec.ts","",""
"","2338","should log out successfully","chromium","2026-09-22","passed","2026-09-22","Login Page Tests","ui/tests/loging.spec.ts","",""
"","4220","Test Case 1: Register User","chromium","2026-09-22","passed","2026-09-22","E2E Tests","ui/tests/E2E.spec.ts","",""
"","1456","Test Case 3: Login User with incorrect email and password:","chromium","2026-09-22","passed","2026-09-22","","ui/tests/loging.spec.ts","",""
"","1653","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality:","chromium","2026-09-22","passed","2026-09-22","Home Page Tests.","ui/tests/home.spec.ts","",""
"","1424","Test Case 11: Verify Subscription in Cart page","chromium","2026-09-22","passed","2026-09-22","Cart Test Cases","ui/tests/cart.spec.ts","",""
"","1557","Test Case 09: Search Product","chromium","2026-09-22","passed","2026-09-22","","ui/tests/productsPage.spec.ts","",""
"","1460","Test Case 5: Register User with existing email:","chromium","2026-09-22","passed","2026-09-22","","ui/tests/signup.spec.ts","",""
"","578","get started link","chromium","2026-09-22","passed","2026-09-22","","api/tests/example.spec.ts","",""
